"screen_name","text","stripped_text2"
"Whitestone_DE","Whitestone Samsung Galaxy S22 Ultra Case (Crystal Clear) Premium Protection w... https://t.co/twVmCeSLXU via @amazon","Whitestone Samsung Galaxy S22 Ultra Case (Crystal Clear) Premium Protection w... https://t.co/twVmCeSLXU via @amazon"
"Whitestone_DE","[Whitestone] Crystal Clear Case for Samsung Galaxy S22 Ultra Premium Protecti... https://t.co/RJjNevRWoV via @amazon","[Whitestone] Crystal Clear Case for Samsung Galaxy S22 Ultra Premium Protecti... https://t.co/RJjNevRWoV via @amazon"
"Whitestone_DE","Whitestone Dome Glass Screen Protector for Samsung Galaxy S22 Ultra, Full Tem... https://t.co/9uFvBKPuwH via @amazon","Whitestone Dome Glass Screen Protector for Samsung Galaxy S22 Ultra, Full Tem... https://t.co/9uFvBKPuwH via @amazon"
"Whitestone_DE","Whitestone is already geared up to protect your new Galaxy S22 https://t.co/ruiV5uLQQO

[Dome Glass] Galaxy S21 Ultra https://t.co/LO8ASC0vve via @amazonDE

[Dome Glass] Galaxy S22 Ultra https://t.co/83OD9QvmO4 via @amazonDE

https://t.co/rw5nAPbn1K","Whitestone is already geared up to protect your new Galaxy S22 https://t.co/ruiV5uLQQO

[Dome Glass] Galaxy S21 Ultra https://t.co/LO8ASC0vve via @amazonDE

[Dome Glass] Galaxy S22 Ultra https://t.co/83OD9QvmO4 via @amazonDE

https://t.co/rw5nAPbn1K"
"Whitestone_DE","@TalkAboutTechTV @SpigenWorld @Samsung @SamsungMobile Just watched and liked the video!
Would you like to try on Whitestone dome glass on the Galaxy S22 Ultra? Pls DM to @whitestonedome 
We would love to send out our gears to hear your opinion! #1 selling on Amazon 1st page for perfect 3D curved protection glass!","@TalkAboutTechTV @SpigenWorld @Samsung @SamsungMobile Just watched and liked the video!
Would you like to try on Whitestone dome glass on the Galaxy S22 Ultra? Pls DM to @whitestonedome 
We would love to send out our gears to hear your opinion! #1 selling on Amazon 1st page for perfect 3D curved protection glass!"
"Whitestone_DE","TOP 22+ SAMSUNG GALAXY S22, S22 PLUS &amp; S22 ULTRA Tips, Tricks - Hidden &amp; ""Advanced Features""
Gear up with #whitestonedomeglass

Amazon DE link :
https://t.co/CxKD7GgKGm

TOP 22+ SAMSUNG GALAXY S22, S22 PLUS &amp; S22 ULTRA Tips, Tricks - Hidden &amp;... https://t.co/6iyEflbBhB","TOP 22+ SAMSUNG GALAXY S22, S22 PLUS &amp; S22 ULTRA Tips, Tricks - Hidden &amp; ""Advanced Features""
Gear up with #whitestonedomeglass

Amazon DE link :
https://t.co/CxKD7GgKGm

TOP 22+ SAMSUNG GALAXY S22, S22 PLUS &amp; S22 ULTRA Tips, Tricks - Hidden &amp;... https://t.co/6iyEflbBhB"
"Whitestone_DE","Best Samsung Galaxy S22 accessories https://t.co/HEvRrnmIP9 @androidcentral 

[Dome Glass] Galaxy S21 Ultra https://t.co/LO8ASC0vve via @amazonDE

[Dome Glass] Galaxy S22 Ultra https://t.co/83OD9QvmO4 via @amazonDE

https://t.co/VbDBp0y1CG","Best Samsung Galaxy S22 accessories https://t.co/HEvRrnmIP9 @androidcentral 

[Dome Glass] Galaxy S21 Ultra https://t.co/LO8ASC0vve via @amazonDE

[Dome Glass] Galaxy S22 Ultra https://t.co/83OD9QvmO4 via @amazonDE

https://t.co/VbDBp0y1CG"
"Whitestone_DE","Samsung Galaxy Tab S8, S8+ &amp; S8 Ultra - Hands-On &amp; Erster Eindruck (Deut... https://t.co/52liZemniE - @swag_tab

[Dome Glass] Galaxy S21 Ultra Screen Protector  https://t.co/GrEvZHD0GC via @amazonDE

[Dome Glass] Galaxy S22 Ultra https://t.co/9KvwVldY57 via @amazonDE","Samsung Galaxy Tab S8, S8+ &amp; S8 Ultra - Hands-On &amp; Erster Eindruck (Deut... https://t.co/52liZemniE - @swag_tab

[Dome Glass] Galaxy S21 Ultra Screen Protector  https://t.co/GrEvZHD0GC via @amazonDE

[Dome Glass] Galaxy S22 Ultra https://t.co/9KvwVldY57 via @amazonDE"
"saharan_anuj_","@Ashok_blue_b Samsung s22 ultra pro is more expensive than iphone 13pro lol<U+2764>","@Ashok_blue_b Samsung s22 ultra pro is more expensive than iphone 13pro lol<U+2764>"
"JahangeerDM","How to use Expert RAW on your Samsung Galaxy phone https://t.co/R1hhWql99H https://t.co/RzngLbslvu","How to use Expert RAW on your Samsung Galaxy phone https://t.co/R1hhWql99H https://t.co/RzngLbslvu"
